2017/ 9/13 20:47:31	 Lux : 1473.00
2017/ 9/13 20:47:42	 Lux : 1448.00
2017/ 9/13 20:47:52	 Lux : 1447.00
2017/ 9/13 20:48: 2	 Lux : 1448.00
2017/ 9/13 20:48:13	 Lux : 1454.00
2017/ 9/13 20:48:26	 Lux : 3504.00
2017/ 9/13 20:48:37	 Lux : 1453.00
2017/ 9/13 20:48:47	 Lux : 1452.00
2017/ 9/13 20:48:58	 Lux : 1466.00
2017/ 9/13 20:49: 8	 Lux : 1448.00
2017/ 9/13 20:49:19	 Lux : 1447.00
2017/ 9/13 20:49:30	 Lux : 1448.00
2017/ 9/13 20:49:43	 Lux : 1448.00
2017/ 9/13 20:49:54	 Lux : 1450.00
2017/ 9/13 20:50: 4	 Lux : 1447.00
2017/ 9/13 20:50:15	 Lux : 1452.00
2017/ 9/14 16:24:30	 Lux : 1448.00
2017/ 9/14 16:24:41	 Lux : 1451.00
