1: Temp=24.3*  Humidity=77.9%
2: Temp=23.8*  Humidity=78.6%
3: Temp=23.8*  Humidity=78.6%
4: Temp=23.8*  Humidity=78.6%
5: Temp=25.3*  Humidity=96.9%
6: Temp=24.9*  Humidity=96.9%
7: Temp=24.7*  Humidity=96.9%
8: Temp=24.7*  Humidity=96.9%
9: Temp=24.5*  Humidity=96.9%
10: Temp=24.4*  Humidity=96.9%
11: Temp=24.2*  Humidity=96.9%
12: Temp=24.2*  Humidity=94.2%
13: Temp=24.2*  Humidity=93.4%
14: Temp=24.2*  Humidity=85.3%
15: Temp=24.2*  Humidity=82.4%
16: Temp=24.2*  Humidity=82.1%
17: Temp=24.0*  Humidity=79.6%
18: Temp=24.0*  Humidity=78.9%
